,label,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6
0,odroid2,186.0,10.0,150.0,350.0,167.0,167.0,166.0
1,rpi-4a,16.2,17.4,1446.0,17.8,435.5,17.1,19.3
2,odroid1,165.0,167.0,167.0,168.0,169.0,166.0,168.0
3,odroid4,169.0,175.0,176.0,174.0,174.0,173.0,173.0
4,rpi-8c,24.9,629.1,16.7,2092.1,16.1,17.3,17.6
5,odroid3,165.0,170.0,169.0,171.0,172.0,170.0,166.0
6,odroid2,163.0,179.0,157.0,169.0,168.0,169.0,169.0
7,odroid2,171.0,187.0,153.0,171.0,170.0,169.0,169.0
8,odroid3,163.0,166.0,169.0,166.0,167.0,166.0,166.0
9,rpi-8c,16.0,737.9,18.5,17.8,18.1,58.2,65.1
10,odroid3,166.0,170.0,3.0,169.0,328.0,170.0,168.0
11,odroid1,163.0,169.0,166.0,168.0,166.0,167.0,167.0
12,rpi-8c,41.3,1850.5,20.3,18.3,20.1,19.4,19.7
13,odroid2,166.0,194.0,11.0,150.0,332.0,168.0,166.0
14,rpi-8a,17.2,13.6,214.0,215.6,199.1,216.4,417.2
15,rpi-8a,200.1,211.8,417.1,233.0,233.6,432.3,16.4
16,odroid3,166.0,168.0,169.0,167.0,163.0,167.0,166.0
17,odroid1,166.0,169.0,166.0,168.0,169.0,168.0,168.0
18,rpi-8a,235.0,227.3,433.3,16.2,232.9,233.3,433.9
19,rpi-8d,17.1,19.0,17.6,963.3,18.5,19.1,19.2
20,odroid1,165.0,168.0,166.0,167.0,169.0,166.0,167.0
21,odroid3,167.0,172.0,168.0,170.0,170.0,171.0,168.0
22,odroid4,171.0,174.0,172.0,174.0,174.0,175.0,172.0
23,rpi-4a,17.8,21.0,785.8,420.9,19.7,18.3,20.0
24,rpi-8d,18.8,20.9,1579.9,17.3,20.6,20.1,20.1
25,rpi-8b,19.9,15.8,438.2,232.5,450.8,29.9,234.3
26,rpi-8b,413.7,433.4,15.9,233.3,233.5,433.2,16.5
27,odroid3,167.0,169.0,170.0,170.0,168.0,168.0,169.0
28,rpi-8c,14.1,14.9,135.4,17.5,16.8,16.9,28.7
29,rpi-8d,1463.2,16.4,19.0,1436.8,21.8,20.9,19.3
30,rpi-8d,18.0,15.9,17.9,781.6,17.3,19.2,19.2
31,rpi-8c,33.6,1900.8,20.3,15.8,18.1,18.4,18.1
32,odroid1,163.0,167.0,167.0,166.0,167.0,166.0,168.0
33,rpi-8c,77.9,21.2,127.8,35.6,32.0,99.7,31.8
34,rpi-8d,17.2,33.0,1575.0,237.2,19.7,17.8,17.8
35,odroid4,170.0,175.0,174.0,174.0,174.0,172.0,173.0
36,rpi-8d,17.5,20.1,963.4,835.8,19.0,21.3,20.1
37,rpi-8d,16.9,19.4,1586.0,17.2,19.3,19.0,21.0
38,rpi-8d,17.3,20.1,33.0,1139.3,18.7,19.5,19.7
39,odroid3,168.0,172.0,171.0,170.0,170.0,173.0,163.0
40,odroid3,169.0,171.0,168.0,172.0,186.0,154.0,170.0
41,odroid4,171.0,173.0,175.0,171.0,172.0,174.0,172.0
42,rpi-8c,53.5,653.6,16.7,18.3,19.8,54.0,2429.0
43,rpi-8b,445.4,30.3,233.3,231.9,233.2,451.2,15.4
44,rpi-8c,16.0,66.8,331.2,60.4,72.0,72.9,21.8
45,rpi-8b,190.6,431.8,16.6,232.9,233.4,233.3,433.2
46,odroid1,163.0,169.0,168.0,167.0,168.0,167.0,167.0
47,rpi-8c,2263.0,10.8,17.5,17.5,49.5,55.5,72.4
48,rpi-8c,17.2,16.5,24.8,956.9,17.7,16.4,17.8
49,odroid4,170.0,175.0,173.0,173.0,174.0,175.0,173.0
50,rpi-8c,13.6,2089.2,19.6,19.1,422.1,19.3,18.8
51,odroid4,171.0,176.0,1.0,179.0,14.0,322.0,339.0
52,rpi-4a,15.3,16.6,1373.9,18.1,19.4,18.6,17.9
53,rpi-8a,216.6,629.9,15.6,433.4,16.0,232.8,233.5
54,rpi-8a,229.3,433.1,15.7,233.1,233.3,433.4,16.5
55,odroid2,168.0,185.0,157.0,172.0,169.0,169.0,168.0
56,odroid3,169.0,170.0,171.0,172.0,172.0,172.0,163.0
57,rpi-8a,229.6,433.0,16.6,233.1,232.3,233.3,433.3
58,rpi-8b,229.5,434.1,15.6,233.2,233.4,233.0,433.3
59,odroid3,169.0,173.0,167.0,173.0,170.0,170.0,168.0
60,rpi-4a,15.9,1382.9,410.9,17.8,16.7,18.1,18.2
61,odroid3,169.0,171.0,170.0,170.0,171.0,172.0,166.0
62,rpi-8b,227.6,230.5,232.9,450.8,16.5,232.9,231.2
63,rpi-8a,227.9,232.9,233.4,16.1,216.4,617.1,16.7
64,odroid3,166.0,172.0,169.0,170.0,172.0,171.0,165.0
65,rpi-8c,14.3,18.5,136.4,17.8,56.3,32.1,1996.2
66,rpi-8d,18.1,18.2,954.4,837.3,22.0,17.6,19.4
67,odroid3,168.0,170.0,169.0,173.0,171.0,171.0,168.0
68,odroid2,163.0,180.0,157.0,171.0,169.0,172.0,169.0
69,rpi-8b,448.2,27.3,32.2,200.2,216.5,216.8,199.9
70,rpi-4a,17.0,1584.9,22.0,16.0,20.3,17.0,18.0
71,odroid2,166.0,189.0,154.0,171.0,169.0,11.0,167.0
72,rpi-8b,229.4,236.4,31.6,199.7,217.1,199.6,634.5
73,rpi-4a,15.0,16.0,807.7,18.5,18.3,18.6,17.1
74,rpi-8d,17.6,12.8,16.5,17.2,780.5,18.0,16.9
75,rpi-8a,232.2,230.6,433.3,16.4,233.4,16.2,216.6
76,rpi-8b,15.7,22.9,636.6,28.7,234.7,232.0,451.1
77,odroid4,170.0,174.0,173.0,174.0,173.0,174.0,174.0
78,rpi-8c,15.3,20.8,1654.7,16.0,17.9,17.6,17.7
79,rpi-8b,13.9,22.4,418.5,233.2,232.7,449.7,17.0
80,odroid1,165.0,170.0,166.0,13.0,153.0,335.0,168.0
81,odroid2,167.0,187.0,156.0,170.0,169.0,17.0,166.0
82,odroid2,180.0,171.0,157.0,170.0,168.0,171.0,170.0
83,rpi-8d,16.3,17.5,1168.2,629.0,18.2,18.6,18.2
84,rpi-8b,227.1,233.9,29.7,200.2,216.2,417.7,233.0
85,rpi-8a,418.9,226.9,433.4,16.4,233.1,433.5,16.3
86,odroid1,164.0,169.0,169.0,166.0,168.0,168.0,165.0
87,rpi-8d,15.2,149.9,837.1,17.2,18.0,18.5,18.2
88,rpi-8b,227.7,449.4,31.0,233.8,233.1,451.0,15.0
89,odroid4,172.0,173.0,175.0,174.0,173.0,173.0,172.0
90,odroid2,164.0,194.0,153.0,169.0,169.0,168.0,14.0
91,odroid1,154.0,334.0,166.0,166.0,168.0,167.0,168.0
92,rpi-8c,14.9,15.3,1612.6,14.5,18.1,198.6,16.7
93,odroid1,166.0,168.0,166.0,15.0,150.0,333.0,167.0
94,rpi-8a,228.9,16.4,214.9,417.0,233.2,16.5,216.2
95,rpi-8a,431.2,15.9,232.0,233.1,233.5,433.4,16.5
96,rpi-8a,228.9,233.0,432.6,17.0,232.5,217.0,16.6
97,rpi-8d,16.8,16.6,337.3,15.5,16.4,69.2,103.5
98,odroid3,167.0,170.0,170.0,171.0,172.0,169.0,164.0
99,odroid4,171.0,173.0,173.0,172.0,172.0,173.0,174.0
100,rpi-8c,17.0,18.5,1626.1,17.1,19.5,20.3,18.5
101,rpi-8a,17.2,10.7,215.2,216.3,216.6,199.8,417.1
