,label,attempt_0,attempt_1,attempt_2,attempt_3,attempt_4,attempt_5,attempt_6,attempt_7,attempt_8,attempt_9
0,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-8b,rpi-4a,rpi-4a,rpi-4a,rpi-4a
1,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-8d,rpi-4a,rpi-8d,rpi-4a
2,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-8d,rpi-8d,rpi-4a,rpi-4a,rpi-4a,rpi-8c,rpi-4a
3,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-8c,rpi-4a,rpi-4a,rpi-4a,rpi-4a
4,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-8c,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-8d,rpi-8d
5,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-8d,rpi-4a,rpi-8d,rpi-4a,rpi-4a
6,rpi-4a,rpi-8d,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-8c
7,rpi-4a,rpi-8d,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
8,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-8d,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
9,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
10,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
