,label,attempt_0,attempt_1
0,rpi-4a,rpi-4a,rpi-4a
1,rpi-4a,rpi-4a,rpi-4a
2,rpi-4a,rpi-4a,rpi-8b
3,rpi-4a,rpi-4a,rpi-4a
4,rpi-4a,rpi-4a,rpi-4a
5,rpi-4a,rpi-4a,rpi-4a
6,rpi-4a,rpi-4a,rpi-4a
7,rpi-4a,rpi-4a,rpi-4a
8,rpi-4a,rpi-8d,rpi-4a
9,rpi-4a,rpi-8d,rpi-4a
10,rpi-4a,rpi-4a,rpi-4a
11,rpi-4a,rpi-4a,rpi-8d
12,rpi-4a,rpi-8d,rpi-4a
13,rpi-4a,rpi-4a,rpi-4a
14,rpi-4a,rpi-8c,rpi-4a
15,rpi-4a,rpi-4a,rpi-4a
16,rpi-4a,rpi-4a,rpi-4a
17,rpi-4a,rpi-4a,rpi-8c
18,rpi-4a,rpi-4a,rpi-4a
19,rpi-4a,rpi-4a,rpi-4a
20,rpi-4a,rpi-4a,rpi-4a
21,rpi-4a,rpi-4a,rpi-8c
22,rpi-4a,rpi-4a,rpi-4a
23,rpi-4a,rpi-4a,rpi-4a
24,rpi-4a,rpi-8d,rpi-8d
25,rpi-4a,rpi-4a,rpi-4a
26,rpi-4a,rpi-4a,rpi-4a
27,rpi-4a,rpi-4a,rpi-8d
28,rpi-4a,rpi-4a,rpi-8d
29,rpi-4a,rpi-4a,rpi-4a
30,rpi-4a,rpi-8d,rpi-4a
31,rpi-4a,rpi-4a,rpi-4a
32,rpi-4a,rpi-4a,rpi-4a
33,rpi-4a,rpi-4a,rpi-4a
34,rpi-4a,rpi-4a,rpi-8c
35,rpi-4a,rpi-8d,rpi-4a
36,rpi-4a,rpi-4a,rpi-4a
37,rpi-4a,rpi-4a,rpi-4a
38,rpi-4a,rpi-4a,rpi-4a
39,rpi-4a,rpi-4a,rpi-4a
40,rpi-4a,rpi-4a,rpi-4a
41,rpi-4a,rpi-4a,rpi-4a
42,rpi-4a,rpi-8d,rpi-4a
43,rpi-4a,rpi-4a,rpi-4a
44,rpi-4a,rpi-4a,rpi-4a
45,rpi-4a,rpi-4a,rpi-4a
46,rpi-4a,rpi-4a,rpi-4a
47,rpi-4a,rpi-4a,rpi-4a
48,rpi-4a,rpi-4a,rpi-4a
49,rpi-4a,rpi-4a,rpi-4a
50,rpi-4a,rpi-4a,rpi-4a
51,rpi-4a,rpi-4a,rpi-4a
52,rpi-4a,rpi-4a,rpi-4a
53,rpi-4a,rpi-4a,rpi-4a
54,rpi-4a,rpi-4a,rpi-4a
55,rpi-4a,rpi-4a,rpi-4a
56,rpi-4a,rpi-4a,rpi-4a
57,rpi-4a,rpi-4a,rpi-4a
58,rpi-4a,rpi-4a,rpi-4a
59,rpi-4a,rpi-4a,rpi-4a
60,rpi-4a,rpi-4a,rpi-8d
61,rpi-4a,rpi-4a,rpi-4a
62,rpi-4a,rpi-8c,rpi-4a
63,rpi-4a,rpi-4a,rpi-4a
64,rpi-4a,rpi-4a,rpi-4a
65,rpi-4a,rpi-4a,rpi-4a
66,rpi-4a,rpi-4a,rpi-4a
67,rpi-4a,rpi-4a,rpi-4a
68,rpi-4a,rpi-4a,rpi-4a
69,rpi-4a,rpi-4a,rpi-4a
70,rpi-4a,rpi-8c,rpi-4a
71,rpi-4a,rpi-4a,rpi-4a
72,rpi-4a,rpi-4a,rpi-8d
73,rpi-4a,rpi-4a,rpi-4a
74,rpi-4a,rpi-4a,rpi-4a
75,rpi-4a,rpi-4a,rpi-8d
76,rpi-4a,rpi-4a,rpi-4a
77,rpi-4a,rpi-4a,rpi-4a
78,rpi-4a,rpi-4a,rpi-4a
79,rpi-4a,rpi-4a,rpi-4a
80,rpi-4a,rpi-4a,rpi-8d
81,rpi-4a,rpi-4a,rpi-4a
82,rpi-4a,rpi-4a,rpi-4a
83,rpi-4a,rpi-4a,rpi-4a
84,rpi-4a,rpi-4a,rpi-4a
85,rpi-4a,rpi-4a,rpi-4a
86,rpi-4a,rpi-4a,rpi-4a
87,rpi-4a,rpi-8c,rpi-4a
88,rpi-4a,rpi-4a,rpi-4a
89,rpi-4a,rpi-4a,rpi-4a
90,rpi-4a,rpi-4a,rpi-8c
91,rpi-4a,rpi-4a,rpi-4a
92,rpi-4a,rpi-8b,rpi-4a
93,rpi-4a,rpi-4a,rpi-4a
94,rpi-4a,rpi-4a,rpi-4a
95,rpi-4a,rpi-4a,rpi-4a
96,rpi-4a,rpi-8d,rpi-8c
97,rpi-4a,rpi-8d,rpi-4a
98,rpi-4a,rpi-4a,rpi-4a
