,label,attempt_0,attempt_1,attempt_2,attempt_3
0,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
1,rpi-4a,rpi-4a,rpi-8b,rpi-4a,rpi-4a
2,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
3,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
4,rpi-4a,rpi-8d,rpi-4a,rpi-8d,rpi-4a
5,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-8d
6,rpi-4a,rpi-8d,rpi-4a,rpi-4a,rpi-4a
7,rpi-4a,rpi-8c,rpi-4a,rpi-4a,rpi-4a
8,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-8c
9,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
10,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-8c
11,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
12,rpi-4a,rpi-8d,rpi-8d,rpi-4a,rpi-4a
13,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-8d
14,rpi-4a,rpi-4a,rpi-8d,rpi-4a,rpi-4a
15,rpi-4a,rpi-8d,rpi-4a,rpi-4a,rpi-4a
16,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
17,rpi-4a,rpi-4a,rpi-8c,rpi-8d,rpi-4a
18,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
19,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
20,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
21,rpi-4a,rpi-8d,rpi-4a,rpi-4a,rpi-4a
22,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
23,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
24,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
25,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
26,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
27,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
28,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
29,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
30,rpi-4a,rpi-4a,rpi-8d,rpi-4a,rpi-4a
31,rpi-4a,rpi-8c,rpi-4a,rpi-4a,rpi-4a
32,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
33,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
34,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
35,rpi-4a,rpi-8c,rpi-4a,rpi-4a,rpi-4a
36,rpi-4a,rpi-4a,rpi-8d,rpi-4a,rpi-4a
37,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-8d
38,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
39,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
40,rpi-4a,rpi-4a,rpi-8d,rpi-4a,rpi-4a
41,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
42,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
43,rpi-4a,rpi-4a,rpi-4a,rpi-8c,rpi-4a
44,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
45,rpi-4a,rpi-4a,rpi-8c,rpi-4a,rpi-4a
46,rpi-4a,rpi-8b,rpi-4a,rpi-4a,rpi-4a
47,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
48,rpi-4a,rpi-8d,rpi-8c,rpi-8d,rpi-4a
49,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-8b
50,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
51,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
52,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
