,label,attempt_0,attempt_1,attempt_2,attempt_3,attempt_4,attempt_5,attempt_6,attempt_7,attempt_8
0,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-8b,rpi-4a,rpi-4a,rpi-4a
1,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-8d,rpi-4a
2,rpi-4a,rpi-8d,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-8d,rpi-8d,rpi-4a,rpi-4a
3,rpi-4a,rpi-4a,rpi-8c,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-8c
4,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-8c,rpi-4a
5,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-8d,rpi-8d,rpi-4a,rpi-4a,rpi-4a,rpi-4a
6,rpi-4a,rpi-4a,rpi-8d,rpi-4a,rpi-8d,rpi-4a,rpi-4a,rpi-8d,rpi-4a,rpi-4a
7,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-8c,rpi-8d,rpi-4a
8,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
9,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-8d,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
10,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
11,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
12,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
13,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-8d,rpi-4a,rpi-4a,rpi-8c,rpi-4a
14,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
15,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-8c,rpi-4a,rpi-4a,rpi-4a
16,rpi-4a,rpi-4a,rpi-8d,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-8d,rpi-4a
17,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-8d
18,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
19,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-8c,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
20,rpi-4a,rpi-4a,rpi-8c,rpi-4a,rpi-4a,rpi-8b,rpi-4a,rpi-4a,rpi-4a,rpi-4a
21,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-8d,rpi-8c,rpi-8d,rpi-4a,rpi-4a,rpi-4a
22,rpi-4a,rpi-4a,rpi-8b,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
23,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-8b
24,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
25,rpi-4a,rpi-4a,rpi-4a,rpi-8d,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
26,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-8d,rpi-4a,rpi-4a,rpi-4a,rpi-4a
27,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
28,rpi-4a,rpi-4a,rpi-4a,rpi-8d,rpi-8d,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-4a
29,rpi-4a,rpi-4a,rpi-8c,rpi-4a,rpi-4a,rpi-4a,rpi-4a,rpi-8c,rpi-4a,rpi-4a
