,label,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6
0,rpi-4a,184.1,498.6,111.3,1.1,284.3,233.3,142.4
1,odroid1,59.0,1.0,886.8,1.1,364.4,1.0,60.3
2,odroid2,7.5,131.8,0.0,285.7,277.5,390.3,95.3
3,rpi-8c,532.4,324.2,0.0,1.1,464.8,226.3,249.2
4,rpi-8b,117.9,47.5,201.2,146.9,366.3,201.7,595.4
5,rpi-4a,412.7,1.0,285.3,253.4,396.3,45.2,384.5
6,odroid1,4.0,200.9,319.4,320.9,241.1,142.1,1.9
7,rpi-8d,644.7,1.0,916.0,271.2,218.5,203.4,1.9
8,rpi-8b,34.7,1.0,534.8,652.3,119.9,178.8,1.9
9,rpi-4a,193.0,473.7,66.8,522.1,37.0,1.0,1.9
10,odroid1,111.0,583.1,51.4,141.4,91.8,573.2,423.2
11,odroid1,254.0,1.0,0.0,6.7,177.6,1.0,348.7
12,odroid2,353.0,1.0,418.9,394.8,95.0,445.1,1.9
13,odroid1,4.0,271.3,475.3,1.1,154.0,422.4,1.9
14,odroid1,419.2,207.8,419.3,1.1,336.1,624.9,97.2
15,odroid4,745.4,1.0,409.8,1.1,155.0,553.0,187.1
16,odroid2,4.0,566.0,499.6,1.1,1.0,450.4,179.3
17,odroid1,4.0,568.0,708.8,263.0,288.2,1.0,214.8
18,rpi-4a,4.0,305.8,589.0,1.1,306.5,118.2,483.0
19,rpi-8c,380.4,258.4,361.6,1.1,181.8,321.4,7.3
20,rpi-8d,662.5,128.4,0.0,1.1,346.3,178.6,164.3
21,odroid2,4.0,663.2,121.0,509.4,174.8,427.4,1.9
22,odroid3,379.2,302.4,235.2,70.3,382.3,1.0,1.9
23,odroid3,148.4,285.3,582.1,381.1,340.5,1.0,151.6
24,odroid2,4.0,1.0,573.4,896.9,184.2,109.8,1.9
25,rpi-8b,601.7,924.5,0.0,1.1,481.1,343.6,268.0
26,odroid2,291.8,1.0,225.8,498.3,1.0,3.6,57.4
27,odroid1,361.1,396.6,0.0,365.0,1.0,52.3,293.3
28,odroid1,684.2,336.2,77.1,371.1,1.0,43.4,157.9
29,odroid1,417.6,856.5,0.0,599.4,54.9,355.8,1.9
30,rpi-8d,543.4,456.0,541.3,290.8,216.0,154.0,1.9
31,odroid1,21.2,594.4,423.9,1.1,1.0,40.5,31.6
32,odroid2,4.0,19.9,611.7,31.2,262.6,1.0,258.1
33,rpi-8a,73.5,560.6,294.0,20.6,772.7,81.5,195.1
34,rpi-4a,4.0,112.0,214.7,1.1,435.3,238.0,291.7
35,rpi-4a,78.1,1.0,604.7,563.0,521.3,54.3,112.1
36,odroid1,4.0,505.2,246.1,1.1,398.9,126.6,353.6
37,odroid1,155.5,214.0,194.6,532.0,296.0,87.9,1.9
38,odroid1,268.2,653.4,397.7,1.1,13.2,172.9,151.8
39,rpi-8a,4.0,162.3,46.3,600.7,221.4,193.5,142.0
40,rpi-4a,4.0,315.2,363.3,633.9,1.0,67.2,526.9
41,odroid3,27.4,92.7,1091.6,338.4,1.0,153.2,1.9
42,odroid1,4.0,239.1,725.6,30.8,81.3,1.0,67.3
43,rpi-8d,126.2,382.9,625.4,483.1,8.7,416.9,121.7
44,odroid2,4.0,1.0,849.1,517.2,1.0,332.9,87.0
45,rpi-8b,4.0,408.5,694.7,190.4,162.2,1.0,187.8
46,rpi-8b,31.0,166.2,514.1,334.3,20.2,124.4,307.4
47,odroid3,4.0,1.0,323.2,1099.5,117.7,126.6,290.5
48,rpi-4a,166.3,327.5,35.1,126.8,260.4,176.2,116.0
49,odroid3,191.2,222.0,0.0,445.7,473.9,62.0,59.4
50,rpi-8b,287.4,814.7,747.8,1.1,1.0,42.5,1.9
51,odroid1,439.8,539.4,255.4,234.4,1.0,306.6,6.1
52,rpi-8a,4.0,254.9,0.0,791.0,53.9,122.4,105.8
53,rpi-8c,4.0,494.3,348.7,155.9,453.9,195.7,478.1
54,rpi-8d,206.3,865.0,0.0,1.1,572.8,275.1,447.7
55,rpi-8c,4.0,1.0,628.4,968.8,90.8,1.0,114.2
56,rpi-8c,233.2,203.5,0.0,12.2,266.2,352.8,318.8
57,rpi-8c,4.0,1.0,211.8,519.5,60.4,552.4,300.2
58,rpi-8c,513.9,215.1,0.0,1.1,548.3,495.4,653.0
59,odroid1,354.7,236.7,37.9,1.1,58.5,259.7,345.4
60,rpi-8d,479.6,42.8,395.3,633.0,79.0,1.0,84.0
61,rpi-4a,4.0,278.1,709.5,577.1,403.7,144.0,29.7
62,rpi-8b,136.7,515.7,0.0,185.3,395.2,69.2,348.2
63,rpi-8b,4.0,1.0,1007.2,218.4,1.0,282.4,1.9
