,label,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6
0,rpi-8b,146.5,253.6,155.4,136.0,356.4,114.5,82.1
1,rpi-8c,203.8,1397.7,270.8,39.3,211.8,100.2,442.5
2,odroid4,146.5,203.3,77.0,71.0,166.6,88.5,41.5
3,odroid4,106.5,159.5,182.3,195.8,1.0,252.9,285.0
4,rpi-4a,153.9,87.3,88.6,20.1,244.6,204.5,45.5
5,rpi-8c,148.4,57.5,144.6,223.6,305.1,22.1,136.5
6,rpi-8d,189.5,1.5,19.9,133.2,177.4,52.5,9.9
7,rpi-8b,86.5,123.3,180.8,212.6,266.7,1.0,166.9
8,odroid2,152.7,387.8,249.3,14.6,22.5,217.2,57.3
9,rpi-8d,324.7,259.5,0.0,138.9,350.0,763.5,69.3
10,rpi-8c,209.2,99.9,154.1,308.6,442.6,34.6,136.8
11,odroid4,170.6,85.2,1359.1,222.6,1.0,1.0,196.3
12,rpi-8b,17.4,247.6,79.5,421.8,44.9,170.0,152.7
13,odroid2,225.8,288.7,1125.3,2.1,254.7,160.3,2.0
14,rpi-8a,2.0,196.7,948.9,264.2,64.5,158.6,167.7
15,rpi-8d,2.0,120.0,188.5,384.2,80.4,135.9,259.5
16,odroid3,67.2,113.3,130.2,29.1,165.8,41.8,171.7
17,rpi-8b,254.6,1.5,126.6,1637.7,454.5,137.6,209.1
18,rpi-8b,219.9,345.8,126.5,84.5,1691.6,32.8,203.8
19,rpi-8d,172.9,172.8,0.0,115.2,250.8,36.1,89.5
20,odroid3,198.4,207.5,103.8,125.8,436.6,176.8,268.2
21,rpi-8a,122.8,322.0,78.1,2.1,133.7,157.5,119.8
22,odroid3,195.9,1.5,118.0,228.4,1.9,17.4,9.4
23,rpi-4a,203.3,322.6,237.0,215.4,29.7,245.6,187.8
24,odroid4,466.3,231.3,134.5,83.2,156.9,1909.0,210.4
25,odroid2,221.9,37.9,206.2,455.2,112.8,225.0,115.8
26,odroid1,110.2,61.6,275.5,147.8,1.0,130.4,49.4
27,odroid4,182.4,208.2,177.5,15.9,131.8,87.7,76.0
28,rpi-4a,170.0,105.5,222.1,191.0,2.8,1.0,2.0
29,odroid1,295.1,567.7,32.5,186.6,2007.2,2218.9,372.2
30,rpi-4a,146.3,1.5,242.3,2.1,127.6,57.0,163.8
31,odroid2,456.5,1468.6,0.0,2.1,9.2,379.2,194.1
32,rpi-8d,214.2,245.2,210.1,49.6,218.7,263.4,141.6
33,rpi-8a,209.0,157.7,161.9,82.3,146.7,155.3,161.2
34,rpi-8b,307.5,239.9,231.8,2.1,111.4,218.4,433.8
35,odroid2,140.6,105.9,31.9,215.4,199.3,232.6,492.1
36,rpi-8d,75.1,85.6,50.0,1350.0,95.8,141.8,80.9
37,rpi-8d,92.6,162.0,173.5,1163.1,1.0,1.0,244.7
38,rpi-8a,2.3,1.5,0.0,197.2,144.4,1.0,16.9
39,rpi-8c,138.6,233.2,169.4,213.3,206.8,169.3,118.0
40,odroid1,13.9,36.2,174.6,1928.1,84.2,1.0,18.9
41,odroid4,338.3,200.4,190.9,123.9,193.7,181.2,63.7
42,rpi-8a,2.0,18.4,480.4,349.4,42.8,9.3,61.4
43,rpi-8d,2292.7,95.1,73.3,51.4,1.0,457.9,194.5
44,odroid4,2.0,167.6,101.0,103.4,50.7,1.0,41.0
45,rpi-8c,262.2,150.7,442.7,2.1,242.1,1.0,163.9
46,odroid2,106.7,198.8,2.9,372.2,29.4,223.8,190.3
47,odroid4,194.1,1799.3,0.0,7.3,191.4,2230.7,131.0
48,rpi-8a,297.0,1.5,1336.0,163.6,141.4,215.5,19.4
49,odroid3,2.0,108.4,0.0,224.4,143.5,116.9,2.0
50,odroid3,191.9,223.0,0.0,147.5,259.4,217.3,56.9
51,rpi-4a,162.2,1309.6,86.0,189.6,10.7,179.0,192.1
52,odroid1,191.1,485.4,49.4,7.6,428.9,71.0,221.4
53,odroid2,162.5,237.9,188.9,157.1,1.0,24.5,418.0
54,odroid3,94.1,129.5,1677.5,579.3,134.8,23.1,236.7
55,odroid1,208.2,533.7,24.4,129.0,194.6,144.0,252.5
56,rpi-8d,57.2,19.2,0.0,71.9,224.2,1.0,2.0
57,rpi-4a,2.0,258.6,128.8,24.6,156.4,57.4,156.1
58,odroid1,457.4,101.2,357.3,2.1,5.1,217.1,91.4
