,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,label
1525,15.4,17.1,216.0,211.9,417.1,233.0,433.4,genuine
2021,18.400000000000002,-2.3999999999999986,1222.4,11.399999999999999,17.0,17.900000000000002,19.3,impersonator
4990,173.0,173.0,174.0,176.0,173.0,173.0,174.0,genuine
2027,229.10000000000002,467.7,36.7,447.2,53.900000000000006,439.5,13.0,impersonator
848,63.0,84.8,1834.3,19.299999999999997,20.9,179.5,1066.0,impersonator
130,172.0,173.0,175.0,173.0,173.0,172.0,173.0,genuine
2840,168.0,191.0,7.0,150.0,350.0,167.0,167.0,genuine
459,430.9,28.1,35.7,212.89999999999998,196.0,192.5,216.0,impersonator
1218,18.4,19.5,1593.6,18.8,18.7,20.5,180.2,genuine
17,139.3,177.3,146.5,150.1,161.0,147.4,166.7,impersonator
1752,29.8,36.7,561.1999999999999,637.3,1.1999999999999993,24.599999999999998,27.099999999999998,impersonator
1357,230.3,231.2,233.1,199.9,233.2,233.2,433.6,genuine
576,231.6,230.2,233.3,432.9,16.8,232.9,233.3,genuine
3639,12.0,169.0,172.0,335.0,15.0,167.0,338.0,genuine
2544,14.3,1391.1,22.1,16.5,16.6,16.4,16.5,genuine
4683,14.4,232.3,229.9,433.1,16.5,233.3,233.2,genuine
4146,18.6,4.5,-3.1999999999999993,45.3,106.6,33.1,84.8,impersonator
865,171.0,176.9,178.0,148.0,162.6,172.2,145.9,impersonator
904,1817.5,40.400000000000006,16.1,788.4,16.1,22.8,37.3,impersonator
560,141.6,173.9,173.6,191.2,187.1,154.3,152.8,impersonator
2017,158.4,210.8,176.3,159.7,182.9,145.0,149.3,impersonator
1927,189.5,212.29999999999998,195.89999999999998,402.70000000000005,208.70000000000002,416.7,-8.7,impersonator
2457,16.9,17.6,1387.8,16.5,18.9,18.7,19.4,genuine
3431,28.6,34.699999999999996,35.5,19.5,77.39999999999999,85.8,23.4,impersonator
2732,149.3,192.5,179.2,155.5,171.9,171.5,163.7,impersonator
101,180.1,189.8,160.2,185.5,149.9,185.8,165.5,impersonator
1246,175.1,192.0,146.0,0.3000000000000007,160.2,315.8,167.4,impersonator
2291,215.10000000000002,3.9000000000000004,403.29999999999995,218.20000000000002,214.6,428.6,3.5,impersonator
3975,1170.2,15.9,18.3,18.3,18.1,19.6,16.8,genuine
2286,447.0,21.9,236.39999999999998,231.3,251.9,231.1,252.7,impersonator
121,144.3,168.4,167.5,172.8,179.0,171.4,153.5,impersonator
1292,163.0,177.0,157.0,172.0,170.0,171.0,169.0,genuine
4945,430.1,16.5,233.0,232.4,232.9,217.0,433.2,genuine
378,172.0,174.0,177.0,171.0,174.0,172.0,174.0,genuine
3969,35.8,32.300000000000004,80.0,76.5,64.30000000000001,30.6,45.8,impersonator
4030,18.2,18.5,542.9,629.0,20.5,18.4,19.7,genuine
4467,24.200000000000003,31.8,27.8,20.5,955.1999999999999,16.7,20.0,impersonator
4809,163.0,169.0,166.0,168.0,167.0,166.0,166.0,genuine
2962,248.8,441.09999999999997,33.0,246.2,257.8,211.7,468.5,impersonator
4885,25.6,16.2,64.10000000000001,-5.000000000000002,70.9,69.10000000000001,108.1,impersonator
987,194.2,244.2,256.2,17.8,234.20000000000002,195.20000000000002,233.6,impersonator
1895,16.8,1167.3,186.20000000000002,-3.5,-2.099999999999998,12.4,2.0,impersonator
115,17.5,12.9,17.8,16.8,971.9,16.5,17.4,genuine
2661,16.6,12.4,424.1,433.1,16.8,233.1,432.5,genuine
4827,1890.2,18.4,19.8,18.2,19.8,20.0,19.6,genuine
1944,147.0,159.2,188.5,187.1,196.2,164.2,162.6,impersonator
1720,-0.20000000000000284,18.0,96.6,1470.3000000000002,17.1,44.5,-0.1999999999999993,impersonator
4407,165.0,166.0,168.0,167.0,167.0,166.0,167.0,genuine
4362,19.5,14.8,1163.7,18.8,832.7,19.6,16.7,genuine
136,429.5,17.3,231.4,233.1,433.4,16.7,232.8,genuine
930,152.0,142.7,142.9,186.0,181.6,146.5,171.0,impersonator
1359,429.7,16.4,232.1,233.2,16.7,216.3,200.0,genuine
30,170.0,174.0,173.0,173.0,174.0,173.0,171.0,genuine
1353,156.9,164.8,162.3,175.9,24.7,186.8,339.8,impersonator
85,14.3,16.1,41.1,1529.3,17.2,17.4,18.7,genuine
2297,181.0,170.0,159.0,170.0,168.0,171.0,12.0,genuine
1584,229.6,231.7,233.0,200.2,233.2,232.6,433.4,genuine
2475,139.9,207.8,112.7,158.9,164.4,190.9,160.7,impersonator
3664,8.9,17.1,734.0,34.7,-5.599999999999998,14.7,-1.0999999999999979,impersonator
3779,180.2,159.4,163.1,177.6,161.8,187.2,166.2,impersonator
3833,14.7,1364.6,420.8,15.1,17.5,17.8,18.4,genuine
4323,18.1,575.6999999999999,417.7,24.5,0.5,1.700000000000001,19.1,impersonator
3444,17.9,17.9,1354.5,17.1,20.3,19.0,19.2,genuine
854,170.0,174.0,174.0,174.0,170.0,172.0,173.0,genuine
3631,166.0,170.0,171.0,170.0,172.0,184.0,156.0,genuine
2977,168.0,173.0,170.0,171.0,173.0,171.0,164.0,genuine
515,14.0,169.0,344.0,18.0,169.0,344.0,20.0,genuine
4784,232.6,235.8,422.3,213.5,455.2,24.8,222.6,impersonator
3619,192.6,186.9,190.4,161.4,198.7,196.3,190.9,impersonator
4442,163.0,180.0,154.0,170.0,169.0,11.0,166.0,genuine
1016,14.3,783.0,425.3,16.4,18.4,19.9,17.3,genuine
3155,28.599999999999998,109.5,514.4,-5.399999999999999,15.9,30.799999999999997,66.3,impersonator
3874,164.0,169.0,167.0,165.0,166.0,168.0,168.0,genuine
136,434.3,15.100000000000001,229.8,233.29999999999998,442.9,1.5999999999999996,236.10000000000002,impersonator
2331,177.4,354.4,145.5,166.6,27.4,164.0,335.2,impersonator
3459,164.0,168.0,165.0,169.0,166.0,167.0,166.0,genuine
727,550.6,-3.299999999999997,35.5,4.4,72.0,39.1,32.7,impersonator
925,171.0,171.0,174.0,171.0,174.0,173.0,171.0,genuine
3246,186.1,173.1,166.3,156.3,188.5,19.2,160.8,impersonator
3480,42.5,25.6,28.3,968.2,7.300000000000001,629.0,31.1,impersonator
693,185.7,173.1,152.2,180.1,166.4,144.8,171.9,impersonator
2121,13.6,432.3,16.4,232.9,233.3,233.1,16.6,genuine
2171,38.4,429.7,47.4,251.9,208.5,469.7,16.7,impersonator
2662,18.6,17.6,1384.6,20.2,224.1,19.2,18.3,genuine
4048,168.1,164.5,182.9,168.4,169.0,147.1,149.1,impersonator
1180,430.0,16.4,235.4,232.7,450.6,16.3,233.7,genuine
3317,17.3,17.5,777.0,631.1,18.4,15.6,20.8,genuine
2836,169.0,172.0,169.0,172.0,170.0,172.0,165.0,genuine
1652,155.1,205.6,170.5,175.8,185.4,173.1,171.4,impersonator
4965,-5.6,790.3000000000001,415.2,13.7,17.599999999999998,16.3,1.3999999999999986,impersonator
4616,18.4,20.0,1160.6,624.2,21.4,20.6,20.5,genuine
3863,157.0,336.0,166.0,169.0,16.0,151.0,334.0,genuine
1233,12.0,227.2,234.5,448.7,31.9,16.0,217.4,genuine
1046,429.1,16.1,232.9,233.0,433.3,16.9,233.1,genuine
102,134.1,159.3,175.7,31.1,182.7,346.6,151.5,impersonator
2312,171.0,173.0,174.0,172.0,173.0,172.0,173.0,genuine
3059,187.9,146.9,150.5,143.8,153.1,190.1,155.0,impersonator
4263,229.2,233.0,232.9,433.5,16.3,233.2,232.4,genuine
3098,151.3,150.5,152.3,158.0,153.6,185.6,168.2,impersonator
3175,174.1,176.5,167.2,160.3,148.2,190.4,167.7,impersonator
1928,232.8,429.5,16.4,233.1,16.6,216.3,199.9,genuine
4199,4.199999999999999,26.599999999999998,961.8,614.8,33.9,243.5,28.0,impersonator
1301,161.1,208.8,171.8,146.1,176.6,170.9,-0.09999999999999964,impersonator
3264,405.9,20.3,237.6,214.5,412.6,39.1,244.8,impersonator
1119,166.0,168.0,167.0,166.0,169.0,168.0,166.0,genuine
1952,164.0,186.0,154.0,170.0,169.0,172.0,171.0,genuine
1429,42.4,510.20000000000005,1705.1,16.0,-4.0,31.3,88.9,impersonator
4449,166.4,154.5,194.5,154.2,156.8,180.1,179.4,impersonator
305,180.0,180.0,150.0,171.0,169.0,13.0,167.0,genuine
3719,24.1,2.6999999999999993,1621.6999999999998,-5.5,424.2,33.0,13.400000000000002,impersonator
3336,177.2,174.4,175.1,163.7,190.6,181.2,166.6,impersonator
2016,166.3,147.6,168.0,188.9,177.5,162.6,184.8,impersonator
2540,8.099999999999998,0.9000000000000021,1395.3,38.6,34.0,-1.8000000000000007,32.3,impersonator
3101,167.0,167.0,165.0,168.0,167.0,167.0,166.0,genuine
2993,175.4,178.6,163.8,168.9,24.0,152.4,319.2,impersonator
2928,165.0,169.0,167.0,167.0,167.0,167.0,168.0,genuine
1492,35.2,2.3000000000000007,30.400000000000002,405.8,3.5,-2.5,8.600000000000001,impersonator
1510,185.5,161.3,168.7,178.6,149.9,176.5,163.0,impersonator
3963,229.3,232.5,432.1,16.5,233.2,233.3,233.1,genuine
42,15.8,768.0,16.9,17.2,17.8,55.4,92.8,genuine
731,16.9,21.5,1393.1,16.2,19.0,20.7,17.2,genuine
3945,225.7,233.9,451.1,31.5,233.2,234.1,449.0,genuine
2824,22.4,1.9000000000000021,157.8,92.6,80.6,9.799999999999997,50.300000000000004,impersonator
1911,14.0,13.4,17.2,16.9,572.7,17.0,17.3,genuine
2224,18.0,21.8,376.7,629.3,20.2,20.5,20.2,genuine
138,166.0,169.0,165.0,167.0,10.0,159.0,333.0,genuine
4642,28.1,192.5,306.4,168.2,4.7,183.8,329.0,impersonator
554,220.10000000000002,422.3,-4.6,211.7,455.4,-6.700000000000001,247.8,impersonator
345,173.6,153.8,174.1,157.2,186.7,162.9,175.9,impersonator
2999,165.0,207.5,152.2,175.0,187.0,152.5,160.2,impersonator
4316,167.0,170.0,170.0,170.0,170.0,171.0,168.0,genuine
3801,12.5,21.0,342.9,15.2,16.5,70.9,733.7,genuine
327,12.3,17.4,1014.6,15.3,16.2,17.5,16.6,genuine
1567,168.0,173.0,169.0,172.0,173.0,170.0,165.0,genuine
2000,172.0,173.0,173.0,174.0,173.0,172.0,173.0,genuine
3256,20.1,14.2,20.0,14.3,964.4,16.5,17.4,genuine
3443,447.2,30.3,233.2,231.4,450.6,15.3,232.2,genuine
23,-3.8999999999999986,37.900000000000006,1167.3,651.0,17.0,12.5,18.3,impersonator
3281,166.0,167.0,171.0,170.0,167.0,171.0,171.0,genuine
1584,227.7,243.79999999999998,225.2,190.6,220.7,231.6,411.9,impersonator
4348,22.700000000000003,3.5999999999999996,1342.3000000000002,609.6,24.400000000000002,11.1,27.0,impersonator
1228,219.29999999999998,212.4,424.5,26.0,254.20000000000002,27.0,196.2,impersonator
784,167.0,172.0,171.0,171.0,171.0,171.0,167.0,genuine
3767,14.999999999999998,63.300000000000004,63.6,1279.0,33.599999999999994,1.1000000000000014,32.7,impersonator
2032,165.0,166.0,169.0,166.0,167.0,167.0,167.0,genuine
2383,180.0,171.0,157.0,169.0,172.0,169.0,12.0,genuine
4836,16.4,1593.7,23.0,19.5,17.3,20.1,20.1,genuine
520,17.5,19.3,16.6,971.6,416.7,19.5,19.7,genuine
1549,17.0,18.7,747.5,838.1,22.1,22.0,23.6,genuine
77,174.9,184.8,163.5,180.9,173.4,180.0,179.9,impersonator
3905,179.0,153.5,156.1,180.3,159.0,152.4,174.1,impersonator
1275,160.0,189.6,174.9,178.9,188.1,169.0,143.4,impersonator
