,label,attempt_0,attempt_1,attempt_2,attempt_3
0,impersonator,match,match,match,match
1,impersonator,match,match,match,match
2,impersonator,match,match,match,match
3,impersonator,match,match,match,match
4,impersonator,match,match,match,match
5,impersonator,match,match,match,match
6,impersonator,match,match,match,match
7,impersonator,match,match,match,match
8,impersonator,match,match,match,match
9,impersonator,match,match,match,match
10,impersonator,match,match,match,match
11,impersonator,match,match,match,match
12,impersonator,match,match,match,match
13,impersonator,match,match,match,match
14,impersonator,match,match,match,match
15,impersonator,match,match,match,match
16,impersonator,match,match,match,match
17,impersonator,match,match,match,match
18,impersonator,match,match,match,match
19,impersonator,match,match,match,match
20,impersonator,match,match,match,match
21,impersonator,match,match,match,match
22,impersonator,match,match,match,match
23,impersonator,match,match,match,match
24,impersonator,match,match,match,match
25,impersonator,match,match,match,match
26,impersonator,match,match,match,match
27,impersonator,match,match,match,match
28,impersonator,match,match,match,match
29,impersonator,match,match,match,match
30,impersonator,match,match,match,match
31,impersonator,match,match,match,match
32,impersonator,match,match,match,match
33,impersonator,match,match,match,match
34,impersonator,match,match,match,match
35,impersonator,match,match,match,match
36,impersonator,match,match,match,match
37,impersonator,match,match,match,match
38,impersonator,match,match,match,match
39,impersonator,match,match,match,match
40,impersonator,match,match,match,match
41,impersonator,match,match,match,match
42,impersonator,match,match,match,match
43,impersonator,match,match,match,match
44,impersonator,match,match,match,match
45,impersonator,match,match,match,match
46,impersonator,match,match,match,match
47,impersonator,match,match,match,match
48,impersonator,match,match,match,match
49,impersonator,match,match,match,match
50,impersonator,match,match,match,match
51,impersonator,match,match,match,match
52,impersonator,match,match,match,match
53,impersonator,match,match,match,match
54,impersonator,match,match,match,match
55,impersonator,match,match,match,match
56,impersonator,match,match,match,match
57,impersonator,match,match,match,match
58,impersonator,match,match,match,match
59,impersonator,match,match,match,match
60,impersonator,match,match,match,match
61,impersonator,match,match,match,match
62,impersonator,match,match,match,match
63,impersonator,match,match,match,match
64,impersonator,match,match,match,match
65,impersonator,match,match,match,match
66,impersonator,match,match,match,match
67,impersonator,match,match,match,match
68,impersonator,match,match,match,match
69,impersonator,match,match,match,match
70,impersonator,match,match,match,match
71,impersonator,match,match,match,match
72,impersonator,match,match,match,match
73,impersonator,match,match,match,match
74,impersonator,match,match,match,match
75,impersonator,match,match,match,match
76,impersonator,match,match,match,match
77,impersonator,match,match,match,match
78,impersonator,match,match,match,match
79,impersonator,match,match,match,match
80,impersonator,match,match,match,match
81,impersonator,match,match,match,match
82,impersonator,match,match,match,match
83,impersonator,match,match,match,match
84,impersonator,match,match,match,match
85,impersonator,match,match,match,match
86,impersonator,match,match,match,impersonator
87,impersonator,match,match,match,match
88,impersonator,match,match,match,match
89,impersonator,match,match,match,match
90,impersonator,match,match,match,match
91,impersonator,match,match,match,match
92,impersonator,match,match,match,match
93,impersonator,match,match,match,match
94,impersonator,match,match,match,match
95,impersonator,match,match,match,match
96,impersonator,match,match,match,match
97,impersonator,match,match,match,match
98,impersonator,match,match,match,match
99,impersonator,match,match,match,match
100,impersonator,match,match,match,match
101,impersonator,match,match,match,match
102,impersonator,match,match,match,match
103,impersonator,match,match,match,match
104,impersonator,match,match,match,match
105,impersonator,match,match,match,match
106,impersonator,match,match,match,match
107,impersonator,match,match,match,match
108,impersonator,match,match,match,match
109,impersonator,match,match,match,match
110,impersonator,match,match,match,match
111,impersonator,match,match,match,match
112,impersonator,match,match,match,match
113,impersonator,match,match,match,match
114,impersonator,match,match,match,match
115,impersonator,match,match,match,match
116,impersonator,match,match,match,match
117,impersonator,match,match,match,match
118,impersonator,match,match,match,match
119,impersonator,match,match,match,match
120,impersonator,match,match,match,match
121,impersonator,match,match,match,match
122,impersonator,match,match,match,match
123,impersonator,match,match,match,match
124,impersonator,match,match,match,impersonator
