,label,attempt_0,attempt_1,attempt_2,attempt_3,attempt_4,attempt_5,attempt_6,attempt_7,attempt_8
0,impersonator,match,match,match,match,match,match,match,match,match
1,impersonator,match,match,match,match,match,match,match,match,match
2,impersonator,match,match,match,match,match,match,match,match,match
3,impersonator,match,match,match,match,match,match,match,match,match
4,impersonator,match,match,match,match,match,match,match,match,match
5,impersonator,match,match,match,match,match,match,match,match,match
6,impersonator,match,match,match,match,match,match,match,match,match
7,impersonator,match,match,match,match,match,match,match,match,match
8,impersonator,match,match,match,match,match,match,match,match,match
9,impersonator,match,match,match,match,match,match,match,match,match
10,impersonator,match,match,match,match,match,match,match,match,match
11,impersonator,match,match,match,match,match,match,match,match,match
12,impersonator,match,match,match,match,match,match,match,match,match
13,impersonator,match,match,match,match,match,match,match,match,match
14,impersonator,match,match,match,match,match,match,match,match,match
15,impersonator,match,match,match,match,match,match,match,match,match
16,impersonator,match,match,match,match,match,match,match,match,match
17,impersonator,match,match,match,match,match,match,match,match,match
18,impersonator,match,match,match,match,match,match,match,match,match
19,impersonator,match,match,match,match,match,match,match,match,match
20,impersonator,match,match,match,match,match,match,match,match,match
21,impersonator,match,match,match,match,match,match,match,match,match
22,impersonator,match,match,match,match,match,match,match,match,match
23,impersonator,match,match,match,match,match,match,match,match,match
24,impersonator,match,match,match,match,match,match,match,match,match
25,impersonator,match,match,match,match,match,match,match,match,match
26,impersonator,match,match,match,match,match,match,match,match,match
27,impersonator,match,match,match,match,match,match,match,match,match
28,impersonator,match,match,match,match,match,match,match,match,match
29,impersonator,match,match,match,match,match,match,match,match,match
30,impersonator,match,match,match,match,match,match,match,match,match
31,impersonator,match,match,match,match,match,match,match,match,match
32,impersonator,match,match,match,match,match,match,match,match,match
33,impersonator,match,match,match,match,match,match,match,match,match
34,impersonator,match,match,match,match,match,match,match,match,match
35,impersonator,match,match,match,match,match,match,match,match,match
36,impersonator,match,match,match,match,match,match,match,match,match
37,impersonator,match,match,match,match,match,match,match,match,match
38,impersonator,match,match,match,match,match,impersonator,match,match,match
39,impersonator,match,match,match,match,match,match,match,match,match
40,impersonator,match,match,match,match,match,match,match,match,match
41,impersonator,match,match,match,match,match,match,match,match,match
42,impersonator,match,match,match,match,match,match,match,match,match
43,impersonator,match,match,match,match,match,match,match,match,match
44,impersonator,match,match,match,match,match,match,match,match,match
45,impersonator,match,match,match,match,match,match,match,match,match
46,impersonator,match,match,match,match,match,match,match,match,match
47,impersonator,match,match,match,match,match,match,match,match,match
48,impersonator,match,match,match,match,match,match,match,match,match
49,impersonator,match,match,match,match,match,match,match,match,match
50,impersonator,match,match,match,match,match,match,match,match,match
51,impersonator,match,match,match,match,match,match,match,match,match
52,impersonator,match,match,match,match,match,match,match,match,match
53,impersonator,match,match,match,match,match,match,match,match,match
54,impersonator,match,match,match,match,match,match,match,match,match
55,impersonator,match,match,match,match,impersonator,impersonator,impersonator,impersonator,impersonator
56,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
57,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
58,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
59,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
60,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
61,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
62,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
63,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
64,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
65,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
66,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
67,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
68,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
69,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
70,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
71,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
72,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
73,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
74,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
75,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
