,label,attempt_0,attempt_1,attempt_2,attempt_3,attempt_4,attempt_5,attempt_6
0,impersonator,match,match,match,match,match,match,match
1,impersonator,match,match,match,match,match,match,match
2,impersonator,match,match,match,match,match,match,match
3,impersonator,match,match,match,match,match,match,match
4,impersonator,match,match,match,match,match,match,match
5,impersonator,match,match,match,match,match,match,match
6,impersonator,match,match,match,match,match,match,match
7,impersonator,match,match,match,match,match,match,match
8,impersonator,match,match,match,match,match,match,match
9,impersonator,match,match,match,match,match,match,match
10,impersonator,match,match,match,match,match,match,match
11,impersonator,match,match,match,match,match,match,match
12,impersonator,match,match,match,match,match,match,match
13,impersonator,match,match,match,match,match,match,match
14,impersonator,match,match,match,match,match,match,match
15,impersonator,match,match,match,match,match,match,match
16,impersonator,match,match,match,match,match,match,match
17,impersonator,match,match,match,match,match,match,match
18,impersonator,match,match,match,match,match,match,match
19,impersonator,match,match,match,match,match,match,match
20,impersonator,match,match,match,match,match,match,match
21,impersonator,match,match,match,match,match,match,match
22,impersonator,match,match,match,match,match,match,match
23,impersonator,match,match,match,match,match,match,match
24,impersonator,match,match,match,match,match,match,match
25,impersonator,match,match,match,match,match,match,match
26,impersonator,match,match,match,match,match,match,match
27,impersonator,match,match,match,match,match,match,match
28,impersonator,match,match,match,match,match,match,match
29,impersonator,match,match,match,match,match,match,match
30,impersonator,match,match,match,match,match,match,match
31,impersonator,match,match,match,match,match,match,match
32,impersonator,match,match,match,match,match,match,match
33,impersonator,match,match,match,match,match,match,match
34,impersonator,match,match,match,match,match,match,match
35,impersonator,match,match,match,match,match,match,match
36,impersonator,match,match,match,match,match,match,match
37,impersonator,match,match,match,match,match,match,match
38,impersonator,match,match,match,match,match,match,match
39,impersonator,match,match,match,match,match,match,match
40,impersonator,match,match,match,match,match,match,match
41,impersonator,match,match,match,match,match,match,match
42,impersonator,match,match,match,match,match,match,match
43,impersonator,match,match,match,match,match,match,match
44,impersonator,match,match,match,match,match,match,match
45,impersonator,match,match,match,match,match,match,match
46,impersonator,match,match,match,match,match,match,match
47,impersonator,match,match,match,match,match,match,match
48,impersonator,match,match,match,match,match,match,match
49,impersonator,match,match,match,match,impersonator,match,match
50,impersonator,match,match,match,match,match,match,match
51,impersonator,match,match,match,match,match,match,match
52,impersonator,match,match,match,match,match,match,match
53,impersonator,match,match,match,match,match,match,match
54,impersonator,match,match,match,match,match,match,match
55,impersonator,match,match,match,match,match,match,match
56,impersonator,match,match,match,match,match,match,match
57,impersonator,match,match,match,match,match,match,match
58,impersonator,match,match,match,match,match,match,match
59,impersonator,match,match,match,match,match,match,match
60,impersonator,match,match,match,match,match,match,match
61,impersonator,match,match,match,match,match,match,match
62,impersonator,match,match,match,match,match,match,match
63,impersonator,match,match,match,match,match,match,match
64,impersonator,match,match,match,match,match,match,match
65,impersonator,match,match,match,match,match,match,match
66,impersonator,match,match,match,match,match,match,match
67,impersonator,match,match,match,match,match,match,match
68,impersonator,match,match,match,match,match,match,match
69,impersonator,match,match,match,match,match,match,match
70,impersonator,match,match,match,match,match,match,match
71,impersonator,match,match,impersonator,impersonator,impersonator,impersonator,impersonator
72,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
73,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
74,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
75,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
76,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
77,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
78,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
79,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
80,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
81,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
82,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
83,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
84,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
85,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
86,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
87,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
88,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
89,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
90,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
91,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
92,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
93,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
94,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
95,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
96,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
97,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
98,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
99,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
100,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
101,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
102,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
103,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
104,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
105,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
106,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
107,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
108,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
109,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
110,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
111,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
112,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
113,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
114,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
115,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
116,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
117,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
118,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
119,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
120,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
121,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
122,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
123,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
124,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
125,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
126,impersonator,impersonator,impersonator,impersonator,impersonator,mismatch,impersonator,impersonator
127,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
128,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
129,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
130,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
131,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
132,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
133,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
134,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
135,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
136,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
137,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator,impersonator
