,label,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6
4424,genuine,202.2,214.8,16.1,17.1,16.6,17.2,16.7
1726,genuine,163.0,186.0,158.0,170.0,169.0,182.0,167.0
395,impersonator,161.8,299.4,12.0,39.0,50.8,262.7,150.7
86,impersonator,54.2,112.1,300.4,154.9,778.4,275.5,6.8
1986,genuine,163.0,167.0,169.0,16.0,151.0,334.0,168.0
3018,genuine,164.0,168.0,165.0,167.0,168.0,169.0,165.0
1467,genuine,16.7,16.4,933.2,629.2,17.2,17.5,18.2
468,impersonator,244.0,444.0,41.7,213.9,195.1,80.5,780.4
154,genuine,169.0,171.0,168.0,172.0,170.0,171.0,168.0
2315,genuine,15.8,16.5,47.2,1164.3,18.6,17.1,15.9
492,impersonator,2.0,106.9,128.2,940.8,28.8,6.2,2.0
325,genuine,208.9,217.1,418.0,232.9,449.4,16.1,233.2
162,impersonator,98.8,44.5,46.5,234.0,95.5,106.1,100.0
622,impersonator,357.3,1045.0,126.6,76.7,67.1,356.8,163.2
245,impersonator,2.0,286.9,152.0,498.8,33.8,111.8,2.0
662,impersonator,21.6,358.6,641.5,25.2,172.9,27.6,216.0
95,impersonator,12.4,14.0,34.1,224.3,1.0,1.0,2.0
2584,genuine,58.1,1451.5,14.7,431.4,18.2,18.2,15.6
680,impersonator,5.7,7.1,596.2,126.1,35.6,39.6,70.9
3564,genuine,15.7,18.1,1176.8,630.0,18.6,16.0,19.4
4367,genuine,163.0,168.0,168.0,168.0,168.0,166.0,169.0
462,impersonator,65.7,166.5,229.0,519.3,4.2,121.3,212.8
2980,genuine,18.4,20.8,97.1,1260.0,19.3,20.6,20.7
283,impersonator,426.9,173.3,934.7,195.4,302.2,73.7,2.0
4064,genuine,16.2,785.7,16.6,18.1,19.5,53.9,88.5
521,genuine,166.0,168.0,167.0,165.0,168.0,169.0,167.0
134,genuine,166.0,186.0,11.0,150.0,350.0,166.0,167.0
4055,genuine,165.0,168.0,167.0,165.0,169.0,165.0,166.0
260,impersonator,72.6,265.1,288.0,230.0,165.7,256.3,9.5
257,impersonator,178.3,138.5,358.8,24.5,262.2,108.3,477.7
343,genuine,166.0,168.0,168.0,166.0,168.0,168.0,166.0
702,impersonator,2029.5,902.1,766.3,91.8,1177.2,893.3,1244.1
3464,genuine,212.9,416.6,233.1,233.2,233.1,200.1,233.2
121,genuine,41.4,16.3,642.8,22.4,230.9,450.0,33.1
79,impersonator,304.9,116.6,550.2,286.0,450.1,420.7,710.8
198,impersonator,4.7,37.7,83.8,843.1,25.4,206.6,223.8
1051,genuine,167.0,171.0,170.0,168.0,170.0,171.0,166.0
323,impersonator,689.3,1.5,235.0,2.1,213.1,256.8,499.5
2476,genuine,171.0,174.0,174.0,175.0,172.0,174.0,172.0
843,genuine,18.8,1161.1,631.6,21.8,17.1,19.3,19.3
721,impersonator,1487.4,2477.7,223.1,108.2,994.3,1458.7,1385.9
2339,genuine,232.6,12.6,214.9,199.0,216.6,417.8,433.4
216,impersonator,2.0,1.5,527.0,715.2,1.0,238.2,87.3
