,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,label
4317,179.7,158.7,175.1,168.5,179.0,182.3,187.8,impersonator
1175,164.0,168.0,167.0,14.0,151.0,330.0,167.0,genuine
897,185.0,156.3,175.6,169.3,179.6,143.4,180.8,impersonator
122,209.5,237.70000000000002,457.20000000000005,32.5,254.29999999999998,242.60000000000002,418.40000000000003,impersonator
2642,28.8,18.3,448.7,447.5,30.7,213.7,425.2,impersonator
53,216.6,629.9,15.6,433.4,16.0,232.8,233.5,genuine
819,40.2,35.5,20.6,939.6,40.900000000000006,38.3,0.0,impersonator
3097,413.6,16.0,216.1,617.0,16.5,232.9,233.3,genuine
311,229.9,16.0,216.4,199.7,216.5,633.9,16.4,genuine
2531,14.299999999999999,-2.0,6.4,630.0,26.5,21.0,3.5,impersonator
2811,167.1,183.9,156.7,152.2,156.1,166.5,154.2,impersonator
1429,49.3,113.0,865.6,1943.3,10.400000000000002,27.0,52.900000000000006,impersonator
3553,25.6,420.5,13.6,233.2,233.3,433.6,30.7,genuine
3476,18.4,17.9,1162.0,631.4,20.6,16.5,18.5,genuine
4084,182.7,201.0,140.4,171.5,30.6,188.0,339.6,impersonator
293,167.0,191.0,154.0,172.0,171.0,171.0,8.0,genuine
4267,231.0,429.9,17.1,233.3,233.4,416.6,16.4,genuine
3670,14.4,16.9,1169.1,16.9,17.2,17.2,18.1,genuine
3361,164.0,169.0,167.0,167.0,166.0,167.0,168.0,genuine
2634,209.3,413.2,37.1,227.6,443.6,31.0,451.0,impersonator
1332,442.2,1.4000000000000021,249.0,247.1,433.0,17.4,238.70000000000002,impersonator
434,168.7,191.6,170.2,167.6,153.2,181.5,160.4,impersonator
637,25.099999999999998,223.6,409.90000000000003,23.2,413.2,23.900000000000002,31.1,impersonator
2383,44.6,1608.2,37.099999999999994,801.4000000000001,21.5,39.099999999999994,1.3000000000000007,impersonator
1147,166.0,168.0,166.0,168.0,167.0,168.0,169.0,genuine
420,207.0,211.9,431.0,229.1,412.29999999999995,27.099999999999998,431.8,impersonator
3190,166.0,193.0,151.0,172.0,183.0,167.0,165.0,genuine
720,140.7,175.5,163.0,176.3,150.8,153.1,189.6,impersonator
1625,160.3,169.7,187.3,153.3,167.0,186.8,163.4,impersonator
4114,229.4,433.1,15.3,233.0,233.1,233.4,433.3,genuine
3613,1577.5,23.8,16.4,431.7,19.9,18.4,19.8,genuine
2239,173.6,171.8,180.9,183.3,177.8,145.0,185.7,impersonator
2998,174.3,195.6,156.7,159.3,172.3,183.8,172.2,impersonator
3369,16.6,21.6,1164.0,420.0,16.5,20.1,18.0,genuine
1102,154.5,168.8,187.6,145.3,162.8,27.8,166.9,impersonator
940,164.0,169.0,168.0,166.0,167.0,168.0,168.0,genuine
2157,-2.8999999999999986,3.5,204.9,211.9,194.29999999999998,208.0,422.09999999999997,impersonator
2686,164.0,170.0,167.0,167.0,168.0,167.0,169.0,genuine
2588,163.0,169.0,166.0,4.0,161.0,4.0,329.0,genuine
4222,461.0,8.299999999999997,228.60000000000002,226.29999999999998,462.5,-6.100000000000001,248.6,impersonator
269,22.0,-4.199999999999999,156.8,1287.1999999999998,35.7,12.600000000000001,17.1,impersonator
294,163.0,168.0,168.0,168.0,167.0,166.0,169.0,genuine
3504,165.0,167.0,169.0,167.0,168.0,169.0,169.0,genuine
2893,175.6,157.2,170.8,176.1,175.6,185.9,188.1,impersonator
2624,430.7,16.2,235.2,233.5,450.5,16.1,234.5,genuine
988,167.0,187.0,1.0,170.0,13.0,316.0,336.0,genuine
3264,144.7,215.9,135.8,177.7,163.5,172.6,174.6,impersonator
2708,100.5,1710.6000000000001,-3.6000000000000014,36.5,43.2,39.0,379.6,impersonator
1735,-3.3000000000000007,170.1,1898.8,18.3,11.2,30.4,19.3,impersonator
2381,131.8,19.6,119.1,25.8,82.2,31.6,96.4,genuine
3008,-4.300000000000001,13.8,92.8,1272.8,28.6,17.4,-3.3999999999999986,impersonator
2397,1994.6,407.8,28.8,2.1999999999999993,27.700000000000003,22.200000000000003,16.8,impersonator
2936,163.0,168.0,167.0,167.0,166.0,166.0,169.0,genuine
422,-1.0,15.299999999999999,55.400000000000006,89.30000000000001,32.2,90.7,115.9,impersonator
2732,17.0,18.7,747.5,838.1,22.1,22.0,23.6,genuine
2375,417.4,12.3,216.2,216.5,199.2,417.2,232.8,genuine
1037,18.9,237.29999999999998,218.39999999999998,248.6,436.20000000000005,25.5,255.2,impersonator
2384,171.0,175.0,175.0,175.0,171.0,172.0,173.0,genuine
2966,25.6,22.5,982.8000000000001,624.8,26.9,27.4,-2.5,impersonator
1410,-7.200000000000001,246.1,243.1,454.1,31.2,217.4,255.79999999999998,impersonator
1863,645.9000000000001,1713.5,34.6,29.5,8.100000000000001,68.9,100.30000000000001,impersonator
3447,165.0,167.0,167.0,167.0,166.0,165.0,169.0,genuine
3410,16.8,22.6,1583.3,18.7,18.8,20.9,179.1,genuine
478,42.4,224.7,249.9,233.1,32.7,215.8,617.1,genuine
1039,433.5,32.6,31.5,200.0,216.0,200.3,633.8,genuine
2199,6.0,159.0,332.0,166.0,165.0,168.0,167.0,genuine
2850,163.0,174.0,175.0,171.0,174.0,173.0,174.0,genuine
1333,2158.7,17.4,15.3,17.6,18.4,586.8,16.9,genuine
579,-7.299999999999999,-2.2,22.2,1008.1999999999999,20.5,9.2,36.5,impersonator
1202,166.0,168.0,167.0,168.0,166.0,169.0,168.0,genuine
3450,164.0,180.0,157.0,171.0,170.0,171.0,171.0,genuine
1117,3.8999999999999986,34.8,226.5,225.6,179.5,225.0,393.6,impersonator
2781,163.0,167.0,167.0,167.0,165.0,168.0,166.0,genuine
3257,47.0,-3.6999999999999993,29.7,6.300000000000001,24.799999999999997,1136.9,842.9,impersonator
1200,1434.2,34.8,239.5,32.8,-2.6000000000000014,35.4,-1.8000000000000007,impersonator
4427,86.6,55.7,75.0,36.1,112.8,63.9,31.0,genuine
