,label,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6
0,rpi-8c,209.0,177.8,220.4,223.8,233.4,199.6,422.4
1,odroid1,30.6,174.9,326.7,460.9,1.0,231.7,157.2
2,odroid4,132.3,190.2,167.7,75.6,401.5,233.6,90.0
3,rpi-8a,396.4,353.7,0.0,195.8,266.2,1756.6,184.2
4,rpi-8a,208.1,397.3,230.8,2.1,51.7,216.2,200.3
5,odroid1,161.9,1174.2,97.5,54.6,1.0,165.6,127.8
6,rpi-4a,106.8,62.3,243.6,185.3,167.7,171.0,61.7
7,rpi-4a,2.0,203.1,0.0,238.8,1.0,44.9,174.1
8,rpi-4a,2.0,43.0,159.1,150.0,102.5,43.1,2.0
9,rpi-4a,240.5,1.5,136.5,682.7,115.2,1.0,4.5
10,rpi-8b,160.0,152.8,187.8,2.1,493.6,203.2,370.5
11,rpi-8c,261.0,1122.7,208.1,192.2,141.6,166.4,58.3
12,odroid4,2.0,205.3,22.1,163.1,221.0,168.6,31.0
13,rpi-4a,2.0,77.1,302.8,557.1,457.7,197.2,193.7
14,odroid3,2.0,241.5,58.4,135.0,379.3,289.2,479.4
15,odroid4,2.0,1637.2,7.7,73.8,179.3,12.3,443.4
16,rpi-8b,23.9,128.9,1225.2,409.0,613.4,200.9,234.2
17,odroid3,187.7,1.5,731.0,202.2,1.0,210.2,150.7
18,rpi-8a,174.0,168.4,1175.2,68.0,19.8,203.4,265.5
19,rpi-8b,60.6,206.9,44.6,758.8,382.7,1725.4,135.4
20,odroid1,447.1,1377.1,2.9,185.9,244.2,103.9,265.7
21,odroid4,88.2,1.5,115.6,131.5,505.8,186.8,158.5
22,odroid2,283.2,135.2,141.7,642.9,1.0,42.5,197.2
23,rpi-4a,147.0,31.4,184.6,141.5,1.0,59.5,194.1
24,rpi-4a,2.0,1.5,180.0,102.7,48.4,150.0,2.0
25,rpi-8a,1546.2,180.7,0.0,134.1,608.0,292.2,1947.7
26,rpi-8c,34.3,270.4,124.2,273.5,116.2,17.5,2.0
27,rpi-8d,255.0,152.1,84.7,177.9,181.6,99.3,54.6
28,rpi-8d,201.3,157.2,0.0,257.7,162.3,39.5,79.6
29,odroid3,186.4,1.5,0.0,174.0,808.9,115.7,172.1
30,odroid4,68.3,11.9,0.0,243.9,104.0,40.8,260.9
31,rpi-8a,171.3,40.5,621.0,1053.6,195.8,160.1,191.0
32,rpi-8c,152.6,186.8,745.7,237.2,1.0,226.6,47.4
33,odroid1,280.3,69.0,143.4,148.4,95.1,1891.1,348.9
34,odroid1,176.1,257.0,414.3,72.8,157.9,216.9,240.6
35,odroid2,41.5,138.2,142.2,42.5,1.0,182.6,51.8
36,rpi-8a,248.3,142.0,320.8,138.0,153.4,346.0,248.3
37,rpi-4a,140.5,31.4,78.0,194.9,159.7,165.0,25.9
38,rpi-8b,165.6,47.2,177.8,364.8,202.7,171.6,229.1
39,odroid4,160.6,73.1,224.5,40.2,200.7,202.2,2.0
40,rpi-8b,161.4,51.6,429.1,14.1,51.2,1.0,11.2
41,odroid1,2.0,1.5,334.6,227.4,5.8,1.0,153.4
42,rpi-8c,90.9,56.5,865.4,615.7,22.7,160.1,76.7
43,rpi-8a,2.0,1.5,163.8,51.1,182.5,30.3,194.7
44,odroid3,2.0,64.0,443.1,115.8,141.2,151.5,2.0
45,rpi-8c,137.7,1.5,1351.2,202.0,19.4,160.5,143.0
46,rpi-8a,87.8,124.8,275.6,126.2,59.0,95.2,74.2
47,odroid2,28.4,108.4,250.1,2.1,1.0,1.0,2.0
48,odroid4,200.6,165.7,180.0,175.4,202.1,158.4,193.9
49,odroid2,276.1,155.4,108.4,81.9,157.0,70.3,168.2
50,rpi-8b,127.2,1.5,282.7,1907.5,178.7,143.7,412.9
51,rpi-8b,70.9,41.4,49.1,312.4,375.2,50.0,163.6
52,odroid4,199.3,26.5,179.9,65.5,226.5,128.0,2.0
53,rpi-8b,222.7,83.1,295.3,26.5,158.3,2266.5,152.2
54,rpi-8c,2546.8,224.6,161.7,4.7,501.1,256.5,1161.9
55,odroid4,36.7,1.5,133.1,132.0,1.0,156.1,2.0
56,rpi-8a,292.3,522.5,117.8,103.2,611.4,404.7,150.6
57,rpi-8a,2.0,257.2,219.0,2.1,327.1,300.8,2.0
58,rpi-8d,1568.2,2465.9,0.0,2.1,842.3,971.2,407.2
59,rpi-8b,204.4,846.1,224.6,248.2,251.5,190.7,263.7
60,odroid1,115.8,109.9,19.7,181.6,1.0,1.0,31.3
61,odroid2,24.8,1.5,323.8,48.6,22.7,170.9,136.9
62,rpi-8c,481.9,145.6,179.6,81.3,156.3,198.7,220.5
63,odroid4,2.0,17.1,1781.1,223.5,151.1,59.2,13.4
